classification_id,user_name,user_id,workflow_id,task,created_at,subject_id,extractor,data.yes,data.aggregation_version,data.no-the-flowers-are-too-far-to-see-the-floral-parts-clearly,data.no-the-image-is-too-blurry,data.no,data.yes-i-can-clearly-see-the-floral-parts-and-am-able-to-distinguish-their-colors,data.two-i-see-both-early-and-late-stage-anthers,data.white,data.purple,data.black,data.one-i-only-see-late-stage-anthers,data.yellow,data.i-don-t-see-any-pollen,data.no-the-position-of-the-flower-is-blocking-my-view-of-the-floral-parts,data.one-i-only-see-early-stage-anthers,data.na-not-applicable,data.cream,data.pink,data.blue,data.the-margins-are-not-colored-differently-from-the-rest-of-the-anther,data.brown,data.i-m-not-sure,data.no-there-is-an-insect-bug-or-other-object-blocking-the-floral-parts,data.orange,data.red
427910034,Bellisper,1997179.0,21902,T0,2022-07-19 17:23:37 UTC,77014064,question_extractor,1.0,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910034,Bellisper,1997179.0,21902,T1,2022-07-19 17:23:37 UTC,77014064,question_extractor,,3.6.0,1.0,,,,,,,,,,,,,,,,,,,,,,
427910034,Bellisper,1997179.0,21902,T2,2022-07-19 17:23:37 UTC,77014064,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910034,Bellisper,1997179.0,21902,T3,2022-07-19 17:23:37 UTC,77014064,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910034,Bellisper,1997179.0,21902,T4,2022-07-19 17:23:37 UTC,77014064,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910034,Bellisper,1997179.0,21902,T5,2022-07-19 17:23:37 UTC,77014064,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910034,Bellisper,1997179.0,21902,T6,2022-07-19 17:23:37 UTC,77014064,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910034,Bellisper,1997179.0,21902,T7,2022-07-19 17:23:37 UTC,77014064,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910062,Bellisper,1997179.0,21902,T0,2022-07-19 17:23:48 UTC,76892920,question_extractor,1.0,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910062,Bellisper,1997179.0,21902,T1,2022-07-19 17:23:48 UTC,76892920,question_extractor,,3.6.0,1.0,,,,,,,,,,,,,,,,,,,,,,
427910062,Bellisper,1997179.0,21902,T2,2022-07-19 17:23:48 UTC,76892920,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910062,Bellisper,1997179.0,21902,T3,2022-07-19 17:23:48 UTC,76892920,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910062,Bellisper,1997179.0,21902,T4,2022-07-19 17:23:48 UTC,76892920,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910062,Bellisper,1997179.0,21902,T5,2022-07-19 17:23:48 UTC,76892920,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910062,Bellisper,1997179.0,21902,T6,2022-07-19 17:23:48 UTC,76892920,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910062,Bellisper,1997179.0,21902,T7,2022-07-19 17:23:48 UTC,76892920,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910138,Bellisper,1997179.0,21902,T0,2022-07-19 17:24:06 UTC,76892872,question_extractor,1.0,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910138,Bellisper,1997179.0,21902,T1,2022-07-19 17:24:06 UTC,76892872,question_extractor,,3.6.0,,1.0,,,,,,,,,,,,,,,,,,,,,
427910138,Bellisper,1997179.0,21902,T2,2022-07-19 17:24:06 UTC,76892872,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910138,Bellisper,1997179.0,21902,T3,2022-07-19 17:24:06 UTC,76892872,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910138,Bellisper,1997179.0,21902,T4,2022-07-19 17:24:06 UTC,76892872,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910138,Bellisper,1997179.0,21902,T5,2022-07-19 17:24:06 UTC,76892872,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910138,Bellisper,1997179.0,21902,T6,2022-07-19 17:24:06 UTC,76892872,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910138,Bellisper,1997179.0,21902,T7,2022-07-19 17:24:06 UTC,76892872,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910161,Bellisper,1997179.0,21902,T0,2022-07-19 17:24:13 UTC,76943103,question_extractor,,3.6.0,,,1.0,,,,,,,,,,,,,,,,,,,,
427910161,Bellisper,1997179.0,21902,T1,2022-07-19 17:24:13 UTC,76943103,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910161,Bellisper,1997179.0,21902,T2,2022-07-19 17:24:13 UTC,76943103,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910161,Bellisper,1997179.0,21902,T3,2022-07-19 17:24:13 UTC,76943103,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910161,Bellisper,1997179.0,21902,T4,2022-07-19 17:24:13 UTC,76943103,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910161,Bellisper,1997179.0,21902,T5,2022-07-19 17:24:13 UTC,76943103,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910161,Bellisper,1997179.0,21902,T6,2022-07-19 17:24:13 UTC,76943103,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910161,Bellisper,1997179.0,21902,T7,2022-07-19 17:24:13 UTC,76943103,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910179,Bellisper,1997179.0,21902,T0,2022-07-19 17:24:22 UTC,77014005,question_extractor,1.0,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910179,Bellisper,1997179.0,21902,T1,2022-07-19 17:24:22 UTC,77014005,question_extractor,,3.6.0,1.0,,,,,,,,,,,,,,,,,,,,,,
427910179,Bellisper,1997179.0,21902,T2,2022-07-19 17:24:22 UTC,77014005,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910179,Bellisper,1997179.0,21902,T3,2022-07-19 17:24:22 UTC,77014005,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910179,Bellisper,1997179.0,21902,T4,2022-07-19 17:24:22 UTC,77014005,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910179,Bellisper,1997179.0,21902,T5,2022-07-19 17:24:22 UTC,77014005,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910179,Bellisper,1997179.0,21902,T6,2022-07-19 17:24:22 UTC,77014005,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910179,Bellisper,1997179.0,21902,T7,2022-07-19 17:24:22 UTC,77014005,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910194,Bellisper,1997179.0,21902,T0,2022-07-19 17:24:27 UTC,77186451,question_extractor,,3.6.0,,,1.0,,,,,,,,,,,,,,,,,,,,
427910194,Bellisper,1997179.0,21902,T1,2022-07-19 17:24:27 UTC,77186451,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910194,Bellisper,1997179.0,21902,T2,2022-07-19 17:24:27 UTC,77186451,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910194,Bellisper,1997179.0,21902,T3,2022-07-19 17:24:27 UTC,77186451,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910194,Bellisper,1997179.0,21902,T4,2022-07-19 17:24:27 UTC,77186451,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910194,Bellisper,1997179.0,21902,T5,2022-07-19 17:24:27 UTC,77186451,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910194,Bellisper,1997179.0,21902,T6,2022-07-19 17:24:27 UTC,77186451,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910194,Bellisper,1997179.0,21902,T7,2022-07-19 17:24:27 UTC,77186451,question_extractor,,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
427910421,not-logged-in-3d7492081cecebb41bdc,,21902,T0,2022-07-19 17:25:30 UTC,76892947,question_extractor,1.0,3.6.0,,,,,,,,,,,,,,,,,,,,,,,
